"conheça curso inclusão pessoa deficiência mobilidade reduzida informe","Irrelevante",0,"","","","08/08/2017 19:00          ","['conheça', 'curso', 'inclusão', 'pessoa', 'deficiência', 'mobilidade', 'reduzida', 'informe']"
"denúncia má conduta funcionário cet agradecemos contato","Irrelevante",0,"","","","08/08/2017 17:10          ","['denúncia', 'má', 'conduta', 'funcionário', 'cet', 'agradecemos', 'contato']"
"olá favor formalize reclamação portal sp conduta funcionário cet","Irrelevante",0,"","","","08/08/2017 17:09         ","['olá', 'favor', 'formalize', 'reclamação', 'portal', 'sp', 'conduta', 'funcionário', 'cet']"
"olá favor grátis solicite fiscalização agradecemos contato","Irrelevante",0,"","","","08/08/2017 17:05        ","['olá', 'favor', 'grátis', 'solicite', 'fiscalização', 'agradecemos', 'contato']"
"olá favor solicite semafórica ligando grátis serviço agradecemos contato","Irrelevante",0,"","","","08/08/2017 17:02       ","['olá', 'favor', 'solicite', 'semafórica', 'ligando', 'grátis', 'serviço', 'agradecemos', 'contato']"
"olá veja aqui mapa funcionamento outras sobre rodízio obrigado","Irrelevante",0,"","","","08/08/2017 16:29        ","['olá', 'veja', 'aqui', 'mapa', 'funcionamento', 'outras', 'sobre', 'rodízio', 'obrigado']"
"dia agosto dia mundial pedestre ûûã","Irrelevante",0,"","","","08/08/2017 16:00          ","['dia', 'agosto', 'dia', 'mundial', 'pedestre', 'ûûã']"
"tarde informação cadastrada agradecemos contato","Irrelevante",0,"","","","08/08/2017 15:17         ","['tarde', 'informação', 'cadastrada', 'agradecemos', 'contato']"
"respeitar leis prova amor vida trânsitoseguro","Irrelevante",0,"","","","08/08/2017 12:00          ","['respeitar', 'leis', 'prova', 'amor', 'vida', 'trânsitoseguro']"
"olá solicitar fiscalização favor grátis serviço obrigado","Irrelevante",0,"","","","08/08/2017 10:43       ","['olá', 'solicitar', 'fiscalização', 'favor', 'grátis', 'serviço', 'obrigado']"
"olá favor grátis solicite fiscalização serviço agradecemos contato","Irrelevante",0,"","","","08/08/2017 10:40       ","['olá', 'favor', 'grátis', 'solicite', 'fiscalização', 'serviço', 'agradecemos', 'contato']"
"serviço sinalização horizontal pintura solo obrigado","Irrelevante",0,"","","","08/08/2017 10:12          ","['serviço', 'sinalização', 'horizontal', 'pintura', 'solo', 'obrigado']"
"olá solicitação favor portal sp sinalização","Irrelevante",0,"","","","08/08/2017 10:11       ","['olá', 'solicitação', 'favor', 'portal', 'sp', 'sinalização']"
