_id;dateTime;text;class;class_label;account
895079290487930880;2017-08-08 21:28:27;____ Hoje o Term. Guarapiranga completa 13 anos! Inaugurado em 08/08/2004, possui 17 linhas, atendendo mensalmente ce… https://t.co/0DNRjV6NMU;Irrelevant;;
895065137484320769;2017-08-08 20:32:12;__ Obras do Monotrilho desviam itinerários de 14 linhas que atendem a Av. Sapopemba entre 5 e 11/08, das 23h às 5h: https://t.co/jH4LFgrSKZ;Urban Event;;
895051264576413696;2017-08-08 19:37:05;RT @smtsp_: Dia 8 de Agosto: Dia Mundial do Pedestre ______________ https://t.co/i6OK4mKSPP;Irrelevant;;
895046938302840834;2017-08-08 19:19:53;@Ana_Lydia __ https://t.co/XlGEfQd6aT;Irrelevant;;
895045114661416965;2017-08-08 19:12:39;@Ana_Lydia  https://t.co/G8Yl9O11ez;Irrelevant;;
895044224479113216;2017-08-08 19:09:06;@danbefs Oi, Dan! O intervalo médio da linha está sujeito a interferências viárias. Registre para verificação: https://t.co/akwdHQSIGh  __;Irrelevant;;
895040853097549825;2017-08-08 18:55:43;@renatinhaot Renata, o desconto dos créditos ocorre normalmente, apenas a CONSULTA do saldo que está sendo atualiza… https://t.co/hcdsaWry8X;Irrelevant;;
895034986864275456;2017-08-08 18:32:24;__ Obra na região do Horto Florestal motiva desvio da linha 1018/10, entre 05/08 e 03/11, sempre das 8h às 18h: https://t.co/WpfPCRdnXH;Urban Event;;
895031318354038787;2017-08-08 18:17:49;@leovalfenia (+) O desconto dos créditos ocorre normalmente, apenas a CONSULTA do saldo que está sendo atualizada p… https://t.co/SFeNSGhGoa;Irrelevant;;
895031269523849216;2017-08-08 18:17:38;@leovalfenia Quando o cartão é carregado, as 48 cotas 'entram' em 24 pares de 2 viagens, totalizando as 48 cotas para uso no mês. (+);Irrelevant;;
895030088659587072;2017-08-08 18:12:56;@carolinadaloia @_leeeet_ (+) Ah, e o período de 2 horas é referente ao deslocamento Residência-Escola ou vice-vers… https://t.co/uTJaMxTz8f;Irrelevant;;
895030070896668672;2017-08-08 18:12:52;@carolinadaloia @_leeeet_ Oi, meninas! Quando o cartão é carregado, as 48 cotas 'entram' em 24 pares de 2 viagens,… https://t.co/wma55cqgFx;Irrelevant;;
895021535509065728;2017-08-08 17:38:57;@itscaalves @sptrans Carolina, sua gratuidade estará disponível para recarga no novo cartão a partir das 18:30. Ten… https://t.co/LII5A7Wwdm;Irrelevant;;
895020866014244864;2017-08-08 17:36:17;#DicaSPTrans ____ Conheça os apps que facilitam a vida de quem anda de ônibus em São Paulo: https://t.co/2Nuz1hj9KZ https://t.co/9A0dHbNdKU;Irrelevant;;
895010631044268032;2017-08-08 16:55:37;@luscasluxca Olá! O Bilhete Único Anônimo pode ser encontrado nos terminais de ônibus e nos demais locais de atendi… https://t.co/6jDSemVavQ;Irrelevant;;
895009266175705089;2017-08-08 16:50:12;@sirvithor @metrosp_oficial Oi, Vithor! A que tipo de Bilhete Único você se refere?;Irrelevant;;
895008785953107968;2017-08-08 16:48:17;@RafaelZnLima Oi, Rafael! Você conseguiu carregar o seu cartão? Você também pode comprar créditos através de aplica… https://t.co/4sX3GI71k8;Irrelevant;;
895008566830125058;2017-08-08 16:47:25;@gabrielnevezx Oi, Gabriel! Poderia nos informar mais detalhes do ocorrido?;Irrelevant;;
895008158095224832;2017-08-08 16:45:47;@benrucewayne Não é preciso emitir um novo cartão. A Carteira Estudantil possui tecnologia para armazenar créditos… https://t.co/Dt4wJENCGw;Irrelevant;;
895007139474939906;2017-08-08 16:41:45;@EuAllanMarques Olá, Allan. Orientamos que registre a sua sugestão com mais detalhes, para análise: https://t.co/akwdHQSIGh __;Irrelevant;;
895006707126022144;2017-08-08 16:40:02;@benrucewayne Oi, Marcelo! Com o número do cartão você pode cancelar pelo 156 ou se dirigir a um dos locais de aten… https://t.co/GQN0ApaSun;Irrelevant;;
895004748855771136;2017-08-08 16:32:15;#DicaSPTrans ____ Perdeu algum objeto no ônibus? Veja como proceder na tentativa de recuperá-lo: https://t.co/ufPMAMgvwH;Irrelevant;;
895000207901040640;2017-08-08 16:14:12;@rateirices Ronaldo, encaminhamos suas informações à equipe responsável. Conheça outros locais de atendimento: https://t.co/mlUWNecnSh __;Irrelevant;;
894989893792923649;2017-08-08 15:33:13;____ #TrocoDesilusoesPor livros! Deixe um livro e pegue outro nas estantes do #LivroNaFaixa: https://t.co/8ckZlsWkDk… https://t.co/UcfSfFtF1D;Irrelevant;;
894989032115109890;2017-08-08 15:29:48;@Contato_011 @UsuarioSPTrans Olá! Poderia nos fornecer mais detalhes, como data e hora do ocorrido?;Irrelevant;;
894966978422636545;2017-08-08 14:02:09;#DicaSPTrans __ Cuide bem do seu Bilhete Único. Não danifique o cartão. Caso aconteça, leve-o para análise: https://t.co/mlUWNecnSh;Irrelevant;;
894963295135952903;2017-08-08 13:47:31;@yarlaviana Oi, Yarla! Encaminhamos suas informações à fiscalização para que o veículo seja identificado e vistoria… https://t.co/1KmndBmOJB;Irrelevant;;
894952316796891137;2017-08-08 13:03:54;@kaarenhazza @_heleena_ @maisoqnana O desconto dos créditos ocorre normalmente, apenas a CONSULTA do saldo que está… https://t.co/LxvFb1FgRf;Irrelevant;;
894951876906692608;2017-08-08 13:02:09;#DicaSPTrans _______ Antes de sair de casa, confira se o seu Bilhete Único está no bolso ou na carteira. Facilite o embarque. ____;Irrelevant;;
