rule,support,confidence,lift
"10, 0.125, 0.125, 1.0"
"11, 0.20555555555555555, 0.20555555555555555, 1.0"
"12, 0.2986111111111111, 0.2986111111111111, 1.0"
"13, 0.16111111111111112, 0.16111111111111112, 1.0"
"2, 0.12638888888888888, 0.12638888888888888, 1.0"
"4, 0.12083333333333333, 0.12083333333333333, 1.0"
"5, 0.11944444444444445, 0.11944444444444445, 1.0"
"6, 0.10277777777777777, 0.10277777777777777, 1.0"
"7, 0.2375, 0.2375, 1.0"
"8, 0.14305555555555555, 0.14305555555555555, 1.0"
"9, 0.16111111111111112, 0.16111111111111112, 1.0"
"12 11, 0.12361111111111112, 0.6013513513513514, 2.013827781269642"
"13 12, 0.10972222222222222, 0.3674418604651163, 2.280673616680032"
"7 8, 0.10833333333333334, 0.456140350877193, 3.1885539090444563"
