rule,support,confidence,lift
"10, 0.1486111111111111, 0.1486111111111111, 1.0"
"11, 0.26944444444444443, 0.26944444444444443, 1.0"
"12, 0.3263888888888889, 0.3263888888888889, 1.0"
"13, 0.19305555555555556, 0.19305555555555556, 1.0"
"2, 0.12083333333333333, 0.12083333333333333, 1.0"
"5, 0.11944444444444445, 0.11944444444444445, 1.0"
"6, 0.11388888888888889, 0.11388888888888889, 1.0"
"7, 0.2, 0.2, 1.0"
"8, 0.12083333333333333, 0.12083333333333333, 1.0"
"9, 0.17222222222222222, 0.17222222222222222, 1.0"
"12 11, 0.1638888888888889, 0.6082474226804124, 1.8635665716165828"
