rule,support,confidence,lift
"10, 0.135752688172043, 0.135752688172043, 1.0"
"11, 0.29435483870967744, 0.29435483870967744, 1.0"
"12, 0.3588709677419355, 0.3588709677419355, 1.0"
"13, 0.1196236559139785, 0.1196236559139785, 1.0"
"2, 0.13440860215053763, 0.13440860215053763, 1.0"
"5, 0.12903225806451613, 0.12903225806451613, 1.0"
"6, 0.10752688172043011, 0.10752688172043011, 1.0"
"7, 0.1935483870967742, 0.1935483870967742, 1.0"
"8, 0.11693548387096774, 0.11693548387096774, 1.0"
"9, 0.17204301075268819, 0.17204301075268819, 1.0"
"11 12, 0.20430107526881722, 0.6940639269406392, 1.934020830126725"
