_id;address;dateTime;lat;lng;text;label;class_label;raw_tweet;location_type;tokens
895041959332589573;;08/08/2017 19:00;;;reduz mobil conhec curs deficienc inform pesso inclusa;Irrelevant;0;Conheça o curso Inclusão da Pessoa com Deficiência e Mobilidade Reduzida. Informe-se em: https://t.co/PrXlWMuaWT https://t.co/drR7hk6zGo;;['reduz', 'mobil', 'conhec', 'curs', 'deficienc', 'inform', 'pesso', 'inclusa']
895014275349196800;;08/08/2017 17:10;;;ma cet denunc condut agradec funcionari;Irrelevant;0;@luizmilanese ... Denúncia de má conduta de funcionário da CET: https://t.co/0kVk1pmqWK Agradecemos o contato.;;['ma', 'cet', 'denunc', 'condut', 'agradec', 'funcionari']
895014181656809477;;08/08/2017 17:09;;;port cet #sp formaliz ola condut favor reclamaca funcionari;Irrelevant;0;@luizmilanese Olá, por favor formalize sua reclamação no Portal #SP156 > Trânsito > Conduta de funcionário da CET > (+);;['port', 'cet', '#sp', 'formaliz', 'ola', 'condut', 'favor', 'reclamaca', 'funcionari']
895013030169370624;;08/08/2017 17:05;;;solicit ola gratil favor fiscalizaca agradec;Irrelevant;0;@louco_positivo Olá, por favor, ligue grátis 1188 e solicite fiscalização. Agradecemos o contato.;;['solicit', 'ola', 'gratil', 'favor', 'fiscalizaca', 'agradec']
895012402021978112;;08/08/2017 17:02;;;solicit lig ola gratil favor agradec semafor;Irrelevant;0;@panoramazsul Olá, por favor, solicite manutenção semafórica ligando grátis 1188, o serviço funciona 24hs. Agradecemos o contato.;;['solicit', 'lig', 'ola', 'gratil', 'favor', 'agradec', 'semafor']
895004155437305857;;08/08/2017 16:29;;;sobr aqu vej ola map obrig funcion outr;Irrelevant;0;@HelderNRP Olá, veja aqui mapa, horário de funcionamento e outras informações sobre o rodízio: https://t.co/3pcJkhvQSM Obrigado.;;['sobr', 'aqu', 'vej', 'ola', 'map', 'obrig', 'funcion', 'outr']
894996737743519744;;08/08/2017 16:00;;;pedestr mund agost;Irrelevant;0;Dia 08 de Agosto: Dia mundial do pedestre! 🚶🚶‍♀️ https://t.co/g4VDW3fCJj;;['pedestr', 'mund', 'agost']
894986053089722368;;08/08/2017 15:17;;;cadastr tard informaca agradec;Irrelevant;0;@Nani_Franco Boa tarde! Sua informação foi cadastrada, agradecemos o contato.;;['cadastr', 'tard', 'informaca', 'agradec']
894936265166139394;;08/08/2017 12:00;;;prov vid respe lei #transitosegur am;Irrelevant;0;Respeitar as leis de trânsito é uma prova de amor a vida. #TrânsitoSeguro https://t.co/d304xCNStC;;['prov', 'vid', 'respe', 'lei', '#transitosegur', 'am']
894916918951497730;;08/08/2017 10:43;;;ola gratil solic favor obrig fiscalizaca;Irrelevant;0;@dstur Olá, para solicitar fiscalização, por favor, ligue grátis 1188. O serviço funciona 24hs. Obrigado.;;['ola', 'gratil', 'solic', 'favor', 'obrig', 'fiscalizaca']
