"cd_linha";"min";"max";"mean";"median";"var";"std";"count";"count_nonzero";"nonzero_percentage";"filename";"dateTime"
32932;0;45;13.692307692307692;13.0;158.95546558704453;12.607754184907181;39;30;23.076923076923073;"201708011500_201708011600";"2017-08-03 15:34:00"
33486;0;43;12.385321100917432;8.0;184.75756031260613;13.592555326817918;109;64;41.28440366972477;"201708011500_201708011600";"2017-08-03 15:34:00"
33515;0;50;12.28476821192053;8.0;184.5783664459161;13.585962109689401;151;96;36.423841059602644;"201708011500_201708011600";"2017-08-03 15:34:00"
33728;0;40;12.121951219512194;11.0;135.21951219512198;11.628392502625717;82;65;20.731707317073166;"201708011500_201708011600";"2017-08-03 15:34:00"
33743;0;32;7.4;0.0;87.69127516778521;9.364361973342616;150;73;51.33333333333333;"201708011500_201708011600";"2017-08-03 15:34:00"
33811;0;44;16.145833333333332;15.0;179.53147163120565;13.398935466342303;48;36;25.0;"201708011500_201708011600";"2017-08-03 15:34:00"
33827;0;49;14.817307692307692;12.5;209.0245519044063;14.457681415234129;104;67;35.57692307692307;"201708011500_201708011600";"2017-08-03 15:34:00"
33846;0;44;12.604166666666666;11.0;110.1995614035087;10.497597887303014;96;78;18.75;"201708011500_201708011600";"2017-08-03 15:34:00"
33847;0;42;5.2075471698113205;0.0;95.39747831530002;9.767163268590323;212;99;53.30188679245283;"201708011500_201708011600";"2017-08-03 15:34:00"
33865;0;40;8.478048780487805;2.0;120.34878048780483;10.970359177702653;205;109;46.829268292682926;"201708011500_201708011600";"2017-08-03 15:34:00"
33866;0;49;9.07843137254902;2.0;148.71372549019605;12.194823717061107;51;29;43.13725490196079;"201708011500_201708011600";"2017-08-03 15:34:00"
33868;0;38;13.219178082191782;11.0;165.28462709284625;12.856306899450022;73;48;34.24657534246576;"201708011500_201708011600";"2017-08-03 15:34:00"
33878;0;36;14.48;15.0;161.01000000000002;12.688971589533962;25;19;24.0;"201708011500_201708011600";"2017-08-03 15:34:00"
34935;0;44;11.744186046511627;8.0;158.95681063122925;12.60780752673633;43;29;32.55813953488372;"201708011500_201708011600";"2017-08-03 15:34:00"
34936;0;50;14.977272727272727;14.0;212.85993657505284;14.589720236353157;44;32;27.27272727272727;"201708011500_201708011600";"2017-08-03 15:34:00"
34964;0;46;13.54368932038835;11.0;150.9956215495907;12.288027569532497;103;77;25.24271844660194;"201708011500_201708011600";"2017-08-03 15:34:00"
32932;0;40;11.0;9.0;112.49999999999999;10.606601717798211;37;29;21.62162162162162;"201708021500_201708021600";"2017-08-03 15:34:00"
33486;0;42;9.367647058823529;4.0;134.05684811237927;11.578292106886027;68;39;42.64705882352941;"201708021500_201708021600";"2017-08-03 15:34:00"
33515;0;43;12.884297520661157;10.0;154.4365013774105;12.427248342952293;121;89;26.446280991735538;"201708021500_201708021600";"2017-08-03 15:34:00"
33728;0;37;12.015625;10.5;132.5870535714285;11.514645177834552;64;49;23.4375;"201708021500_201708021600";"2017-08-03 15:34:00"
33743;0;39;12.46;13.0;109.50343434343438;10.464388866218341;100;75;25.0;"201708021500_201708021600";"2017-08-03 15:34:00"
33811;0;40;10.777777777777779;2.0;172.44949494949495;13.13200270139688;45;24;46.666666666666664;"201708021500_201708021600";"2017-08-03 15:34:00"
33827;0;41;14.147058823529411;9.0;202.067268491555;14.215036703841289;102;66;35.29411764705882;"201708021500_201708021600";"2017-08-03 15:34:00"
33846;0;34;12.207207207207206;12.0;108.2021294021294;10.402025254830397;111;87;21.62162162162162;"201708021500_201708021600";"2017-08-03 15:34:00"
