rule,support,confidence,lift
"10, 0.11559139784946236, 0.11559139784946236, 1.0"
"11, 0.21236559139784947, 0.21236559139784947, 1.0"
"12, 0.3790322580645161, 0.3790322580645161, 1.0"
"13, 0.21908602150537634, 0.21908602150537634, 1.0"
"14, 0.12365591397849462, 0.12365591397849462, 1.0"
"2, 0.12365591397849462, 0.12365591397849462, 1.0"
"5, 0.125, 0.125, 1.0"
"6, 0.11290322580645161, 0.11290322580645161, 1.0"
"7, 0.19086021505376344, 0.19086021505376344, 1.0"
"8, 0.1303763440860215, 0.1303763440860215, 1.0"
"9, 0.15456989247311828, 0.15456989247311828, 1.0"
"12 11, 0.13709677419354838, 0.6455696202531644, 1.7032049555615403"
"13 12, 0.16129032258064516, 0.425531914893617, 1.9423051820911108"
"7 8, 0.10887096774193548, 0.5704225352112676, 4.3751996515173515"
