rule,support,confidence,lift
"10, 0.13440860215053763, 0.13440860215053763, 1.0"
"11, 0.1989247311827957, 0.1989247311827957, 1.0"
"12, 0.3602150537634409, 0.3602150537634409, 1.0"
"13, 0.24059139784946237, 0.24059139784946237, 1.0"
"14, 0.11559139784946236, 0.11559139784946236, 1.0"
"3, 0.1196236559139785, 0.1196236559139785, 1.0"
"5, 0.10483870967741936, 0.10483870967741936, 1.0"
"6, 0.1196236559139785, 0.1196236559139785, 1.0"
"7, 0.1693548387096774, 0.1693548387096774, 1.0"
"8, 0.17338709677419356, 0.17338709677419356, 1.0"
"9, 0.15456989247311828, 0.15456989247311828, 1.0"
"11 12, 0.1196236559139785, 0.6013513513513514, 1.6694231544977816"
"13 12, 0.15053763440860216, 0.417910447761194, 1.7370132577336779"
"8 7, 0.10080645161290322, 0.5952380952380952, 3.4330011074197118"
