rule,support,confidence,lift
"10, 0.12231182795698925, 0.12231182795698925, 1.0"
"11, 0.25268817204301075, 0.25268817204301075, 1.0"
"12, 0.4032258064516129, 0.4032258064516129, 1.0"
"13, 0.20026881720430106, 0.20026881720430106, 1.0"
"14, 0.13172043010752688, 0.13172043010752688, 1.0"
"2, 0.125, 0.125, 1.0"
"5, 0.125, 0.125, 1.0"
"6, 0.10483870967741936, 0.10483870967741936, 1.0"
"7, 0.1760752688172043, 0.1760752688172043, 1.0"
"8, 0.10618279569892473, 0.10618279569892473, 1.0"
"9, 0.16263440860215053, 0.16263440860215053, 1.0"
"11 12, 0.1693548387096774, 0.6702127659574467, 1.662127659574468"
"13 12, 0.1478494623655914, 0.3666666666666667, 1.8308724832214767"
