rule,support,confidence,lift
"10, 0.15311653116531165, 0.15311653116531165, 1.0"
"11, 0.3319783197831978, 0.3319783197831978, 1.0"
"12, 0.2086720867208672, 0.2086720867208672, 1.0"
"13, 0.11924119241192412, 0.11924119241192412, 1.0"
"2, 0.12601626016260162, 0.12601626016260162, 1.0"
"5, 0.12195121951219512, 0.12195121951219512, 1.0"
"6, 0.15040650406504066, 0.15040650406504066, 1.0"
"7, 0.1978319783197832, 0.1978319783197832, 1.0"
"8, 0.14363143631436315, 0.14363143631436315, 1.0"
"9, 0.15311653116531165, 0.15311653116531165, 1.0"
"12 11, 0.14363143631436315, 0.4326530612244898, 2.073363371322555"
