rule,support,confidence,lift
"10, 0.11715481171548117, 0.11715481171548117, 1.0"
"11, 0.2914923291492329, 0.2914923291492329, 1.0"
"12, 0.28312412831241285, 0.28312412831241285, 1.0"
"13, 0.13389121338912133, 0.13389121338912133, 1.0"
"2, 0.12552301255230125, 0.12552301255230125, 1.0"
"5, 0.12831241283124128, 0.12831241283124128, 1.0"
"6, 0.12552301255230125, 0.12552301255230125, 1.0"
"7, 0.23430962343096234, 0.23430962343096234, 1.0"
"8, 0.13249651324965134, 0.13249651324965134, 1.0"
"9, 0.1492329149232915, 0.1492329149232915, 1.0"
"12 11, 0.15481171548117154, 0.5311004784688995, 1.8758573549862114"
"8 7, 0.10460251046025104, 0.4464285714285714, 3.3693609022556386"
