"cd_linha";"min";"max";"mean";"median";"var";"std";"count";"count_nonzero";"nonzero_percentage";"filename";"dateTime"
32776;0;49;28.48;32.0;240.34333333333336;15.503010460337482;25;22;12.0;"201706011000_201706011100";"2017-06-20 10:00:00"
32805;0;52;32.61904761904762;34.0;215.84761904761905;14.691753436796407;21;19;9.523809523809524;"201706011000_201706011100";"2017-06-20 10:00:00"
32813;0;47;8.521739130434783;0.0;217.52699474438606;14.748796382904812;92;29;68.4782608695652;"201706011000_201706011100";"2017-06-20 10:00:00"
32820;0;49;24.0;21.0;374.85714285714283;19.36122782411133;22;16;27.27272727272727;"201706011000_201706011100";"2017-06-20 10:00:00"
32824;0;55;24.558139534883722;25.0;279.4905869324474;16.71797197426911;43;37;13.953488372093027;"201706011000_201706011100";"2017-06-20 10:00:00"
32825;0;47;9.404761904761905;0.0;207.22241579558653;14.395221977989312;42;19;54.761904761904766;"201706011000_201706011100";"2017-06-20 10:00:00"
32826;0;49;5.035211267605634;0.0;140.72924782738994;11.862935885664642;142;37;73.94366197183099;"201706011000_201706011100";"2017-06-20 10:00:00"
32827;0;56;30.75;33.0;256.5633333333334;16.017594492723724;76;68;10.526315789473683;"201706011000_201706011100";"2017-06-20 10:00:00"
32829;0;52;28.075;29.5;306.32756410256405;17.50221597691458;40;33;17.500000000000004;"201706011000_201706011100";"2017-06-20 10:00:00"
32831;6;50;26.25;24.0;187.6590909090909;13.69887188454184;12;12;0.0;"201706011000_201706011100";"2017-06-20 10:00:00"
32833;0;45;3.480769230769231;0.0;89.96736972704713;9.485113058211121;156;24;84.61538461538461;"201706011000_201706011100";"2017-06-20 10:00:00"
32834;0;55;32.57692307692308;35.0;242.09384615384616;15.559365223358123;26;24;7.692307692307687;"201706011000_201706011100";"2017-06-20 10:00:00"
32836;0;50;3.83265306122449;0.0;118.77106055536956;10.898213640563739;245;53;78.36734693877551;"201706011000_201706011100";"2017-06-20 10:00:00"
32944;0;49;21.72;23.0;316.4599999999999;17.7893226402806;25;18;28.000000000000004;"201706011000_201706011100";"2017-06-20 10:00:00"
