rule,support,confidence,lift
"10, 0.12361111111111112, 0.12361111111111112, 1.0"
"11, 0.20416666666666666, 0.20416666666666666, 1.0"
"12, 0.3819444444444444, 0.3819444444444444, 1.0"
"13, 0.19444444444444445, 0.19444444444444445, 1.0"
"14, 0.12638888888888888, 0.12638888888888888, 1.0"
"2, 0.13194444444444445, 0.13194444444444445, 1.0"
"5, 0.125, 0.125, 1.0"
"6, 0.1, 0.1, 1.0"
"7, 0.19027777777777777, 0.19027777777777777, 1.0"
"8, 0.12361111111111112, 0.12361111111111112, 1.0"
"9, 0.1597222222222222, 0.1597222222222222, 1.0"
"11 12, 0.12916666666666668, 0.6326530612244898, 1.656400742115028"
"12 13, 0.14166666666666666, 0.3709090909090909, 1.9075324675324674"
